company,sector,careers_url,ats,ats_identifier,enabled,status,notes
JUMO,FinTech,https://job-boards.greenhouse.io/jumo,Greenhouse,jumo,TRUE,Verified,Working collector
Sama,AI Services,https://job-boards.greenhouse.io/samainc,Greenhouse,samainc,TRUE,Verified,Corrected board token
Acumen,Impact Investing,https://job-boards.greenhouse.io/acumen,Greenhouse,acumen,TRUE,Pending,
ALX Africa,EdTech,https://job-boards.greenhouse.io/alxafrica,Greenhouse,alxafrica,TRUE,Pending,
GiveDirectly,NGO,https://job-boards.greenhouse.io/givedirectly,Greenhouse,givedirectly,TRUE,Pending,
Pharo Management,Education,https://job-boards.greenhouse.io/pharomanagement,Greenhouse,pharomanagement,TRUE,Pending,
Moniepoint,FinTech,https://job-boards.greenhouse.io/moniepoint,Greenhouse,moniepoint,TRUE,Pending,
ScanGroup,Marketing,https://job-boards.greenhouse.io/scangroup,Greenhouse,scangroup,TRUE,Pending,
One Acre Fund,Agritech,https://job-boards.greenhouse.io/oafkenya,Greenhouse,oafkenya,TRUE,Verified,
Educate!,EdTech,https://job-boards.greenhouse.io/educate,Greenhouse,educate,TRUE,Pending,
Instiglio,Consulting,https://job-boards.greenhouse.io/instiglio,Greenhouse,instiglio,TRUE,Pending,
Sand Technologies,AI,https://job-boards.greenhouse.io/sandtechholdingslimited,Greenhouse,sandtechholdingslimited,TRUE,Pending,
Girl Effect,NGO,https://job-boards.greenhouse.io/girleffect,Greenhouse,girleffect,TRUE,Pending,
HumanSignal,AI,https://job-boards.greenhouse.io/humansignal,Greenhouse,humansignal,TRUE,Pending,
Agoda,Travel Tech,https://job-boards.greenhouse.io/agoda,Greenhouse,agoda,TRUE,Pending,
Wikimedia,Open Source,https://job-boards.greenhouse.io/wikimedia,Greenhouse,wikimedia,TRUE,Pending,
Mozilla,Software,https://job-boards.greenhouse.io/mozilla,Greenhouse,mozilla,TRUE,Pending,
BitGo,Crypto,https://job-boards.greenhouse.io/bitgo,Greenhouse,bitgo,TRUE,Pending,
GitLab,DevTools,https://job-boards.greenhouse.io/gitlab,Greenhouse,gitlab,TRUE,Pending,
Known,Marketing,https://job-boards.greenhouse.io/known,Greenhouse,known,TRUE,Pending,
Growe,FinTech,https://job-boards.greenhouse.io/growe,Greenhouse,growe,TRUE,Pending,
Startale,Web3,https://job-boards.greenhouse.io/startale,Greenhouse,startale,TRUE,Pending,
Straight Arrow News,Media,https://job-boards.greenhouse.io/straightarrownews,Greenhouse,straightarrownews,TRUE,Pending,
Sporty Group,SportsTech,https://job-boards.greenhouse.io/sportygroup,Greenhouse,sportygroup,TRUE,Pending,
Xapo,FinTech,https://job-boards.greenhouse.io/xapo61,Greenhouse,xapo61,TRUE,Pending,
Nava PBC,HealthTech,https://job-boards.greenhouse.io/navapbc,Greenhouse,navapbc,TRUE,Pending,
Canonical,Software,https://job-boards.greenhouse.io/canonical,Greenhouse,canonical,TRUE,Pending,
CloudFactory,AI Services,https://apply.workable.com/cloudfactory/,Workable,cloudfactory,TRUE,Verified,
Inkomoko,Business Services,https://apply.workable.com/inkomoko/,Workable,inkomoko,TRUE,Pending,
Tatu City,Real Estate,https://apply.workable.com/tatucity/,Workable,tatucity,TRUE,Pending,
Pavago,Remote Hiring,https://apply.workable.com/pavago,Workable,pavago,TRUE,Pending,
OpenFn,Open Source,https://apply.workable.com/openfn/,Workable,openfn,TRUE,Pending,
Human Intelligence,AI,https://apply.workable.com/humanintelligence/,Workable,humanintelligence,TRUE,Pending,
Synnefa,Agritech,https://synnefa.breezy.hr/,BreezyHR,synnefa,TRUE,Pending,
CDH,Healthcare,https://cdh.breezy.hr/,BreezyHR,cdh,TRUE,Pending,
Mukuru,FinTech,https://mukuru.breezy.hr/,BreezyHR,mukuru,TRUE,Verified,
Goal 3,NGO,https://goal-3.breezy.hr/,BreezyHR,goal-3,TRUE,Pending,
Labor Mobility Partnerships,NGO,https://labor-mobility-partnerships.breezy.hr/,BreezyHR,labor-mobility-partnerships,TRUE,Pending,
M-KOPA,FinTech,https://jobs.ashbyhq.com/M-KOPA,Ashby,M-KOPA,TRUE,Verified,
FutureFit AI,AI,https://jobs.ashbyhq.com/futurefitai,Ashby,futurefitai,TRUE,Pending,
Hopae,HRTech,https://jobs.ashbyhq.com/hopae,Ashby,hopae,TRUE,Pending,
Scale Army,Career Services,https://jobs.ashbyhq.com/Scale%20Army%20Careers,Ashby,Scale Army Careers,TRUE,Pending,
Mudflap,Logistics,https://www.mudflapinc.com/open-positions,Ashby,mudflapinc,TRUE,Pending,
TalentSafari,HRTech,https://jobs.ashbyhq.com/talentsafari,Ashby,talentsafari,TRUE,Pending,
Ello,EdTech,https://jobs.ashbyhq.com/ello,Ashby,ello,TRUE,Pending,
Lua,AI,https://jobs.ashbyhq.com/lua,Ashby,lua,TRUE,Pending,
Share,FinTech,https://jobs.ashbyhq.com/share,Ashby,share,TRUE,Pending,
Kin,InsurTech,https://jobs.ashbyhq.com/kin,Ashby,kin,TRUE,Pending,
Suno,AI,https://jobs.ashbyhq.com/suno,Ashby,suno,TRUE,Pending,
Arlo,Technology,https://jobs.ashbyhq.com/arlo,Ashby,arlo,TRUE,Pending,
